Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,No,Travel_Rarely,1136,Research & Development,Life Sciences,Male,60,Research Scientist,Divorced,2328,1,Yes,16,80,4,2,4,2,2,2
36,No,Travel_Frequently,635,Research & Development,Medical,Female,73,Laboratory Technician,Single,2153,1,No,13,80,8,2,8,1,1,7
40,No,Non-Travel,1151,Research & Development,Life Sciences,Male,63,Healthcare Representative,Married,4876,9,No,14,80,5,5,3,2,0,2
46,No,Travel_Rarely,644,Research & Development,Medical,Male,97,Healthcare Representative,Divorced,9396,7,No,16,80,17,3,4,2,0,3
32,Yes,Travel_Rarely,1045,Sales,Medical,Male,32,Sales Executive,Married,10400,1,No,11,80,14,2,14,8,9,8
30,No,Non-Travel,829,Research & Development,Life Sciences,Male,88,Manufacturing Director,Single,8474,1,No,22,80,12,2,11,8,5,8
27,No,Travel_Frequently,1242,Sales,Life Sciences,Female,90,Sales Executive,Single,9981,1,No,14,80,7,2,7,7,0,7
51,No,Travel_Rarely,1469,Research & Development,Life Sciences,Male,81,Research Director,Married,12490,5,No,16,80,16,5,10,9,4,7
30,Yes,Travel_Rarely,1005,Research & Development,Technical Degree,Female,88,Research Scientist,Single,2657,5,Yes,11,80,8,5,5,2,0,4
41,No,Travel_Rarely,896,Sales,Life Sciences,Female,75,Manager,Single,13591,3,Yes,18,80,16,3,1,0,0,0
30,Yes,Travel_Frequently,334,Sales,Marketing,Female,52,Sales Executive,Single,6696,5,No,15,80,9,5,6,3,0,1
29,Yes,Travel_Rarely,992,Research & Development,Technical Degree,Male,85,Research Scientist,Single,2058,0,No,14,80,7,1,6,2,1,5
45,No,Non-Travel,1052,Sales,Medical,Female,57,Sales Executive,Single,8865,6,No,12,80,23,2,19,7,12,8
54,No,Travel_Rarely,1147,Sales,Marketing,Female,52,Sales Executive,Married,5940,2,No,14,80,16,4,6,2,0,5
36,No,Travel_Rarely,1396,Research & Development,Life Sciences,Male,62,Laboratory Technician,Single,5914,8,No,16,80,16,3,13,11,3,7
33,No,Travel_Rarely,147,Research & Development,Medical,Female,47,Research Scientist,Married,2622,6,No,21,80,7,3,3,2,1,1
37,No,Travel_Frequently,663,Research & Development,Other,Male,47,Research Director,Divorced,12185,1,Yes,14,80,10,1,10,8,0,7
38,No,Travel_Rarely,119,Sales,Life Sciences,Male,76,Sales Executive,Divorced,10609,0,No,12,80,17,6,16,10,5,13
31,No,Non-Travel,979,Research & Development,Medical,Male,90,Manufacturing Director,Married,4345,0,No,12,80,6,2,5,4,1,4
59,No,Travel_Rarely,142,Research & Development,Life Sciences,Male,70,Research Scientist,Married,2177,3,No,17,80,7,6,1,0,0,0
37,No,Travel_Frequently,319,Sales,Marketing,Male,41,Sales Representative,Divorced,2793,4,No,17,80,13,2,9,8,5,8
29,No,Travel_Frequently,1413,Sales,Medical,Female,42,Sales Executive,Married,7918,1,No,14,80,11,5,11,10,4,1
35,No,Travel_Frequently,944,Sales,Marketing,Female,92,Sales Executive,Single,8789,1,No,14,80,10,3,10,7,0,8
29,Yes,Travel_Rarely,896,Research & Development,Medical,Male,86,Research Scientist,Single,2389,1,Yes,13,80,4,3,4,3,0,1
52,No,Travel_Rarely,1323,Research & Development,Life Sciences,Female,89,Laboratory Technician,Single,3212,7,No,15,80,6,3,2,2,2,2
42,No,Travel_Rarely,532,Research & Development,Technical Degree,Male,58,Manager,Married,19232,1,No,11,80,22,3,22,17,11,15
59,No,Travel_Rarely,818,Human Resources,Medical,Male,52,Human Resources,Married,2267,8,No,17,80,7,2,2,2,2,2
50,No,Travel_Rarely,854,Sales,Medical,Female,68,Manager,Divorced,19517,3,No,11,80,32,3,7,0,0,6
33,Yes,Travel_Rarely,813,Research & Development,Medical,Male,58,Laboratory Technician,Married,2436,5,Yes,13,80,8,2,5,4,0,4
43,No,Travel_Rarely,1034,Sales,Marketing,Female,80,Manager,Married,16064,5,Yes,22,80,22,3,17,13,1,9
33,Yes,Travel_Rarely,465,Research & Development,Life Sciences,Female,39,Laboratory Technician,Married,2707,7,No,20,80,13,3,9,7,1,7
52,No,Non-Travel,771,Sales,Life Sciences,Male,79,Manager,Single,19068,1,Yes,18,80,33,2,33,7,15,12
32,No,Travel_Rarely,1401,Sales,Life Sciences,Female,56,Sales Representative,Married,3931,2,No,11,80,6,5,4,3,1,2
32,Yes,Travel_Rarely,515,Research & Development,Life Sciences,Male,62,Laboratory Technician,Single,3730,0,Yes,14,80,4,2,3,2,1,2
39,No,Travel_Rarely,1431,Research & Development,Medical,Female,96,Laboratory Technician,Divorced,2232,7,No,14,80,7,1,3,2,1,2
32,No,Non-Travel,976,Sales,Marketing,Male,100,Sales Executive,Married,4465,0,No,18,80,4,2,3,2,2,2
41,No,Travel_Rarely,1411,Research & Development,Life Sciences,Male,36,Research Scientist,Divorced,3072,2,No,16,80,17,2,1,0,0,0
40,No,Travel_Rarely,1300,Research & Development,Technical Degree,Male,62,Research Scientist,Divorced,3319,1,No,17,80,9,3,9,8,4,7
45,No,Travel_Rarely,252,Research & Development,Other,Male,70,Manager,Married,19202,0,No,11,80,25,2,24,0,1,7
31,No,Travel_Frequently,1327,Research & Development,Medical,Male,73,Research Director,Divorced,13675,9,No,12,80,9,3,2,2,2,2
33,No,Travel_Rarely,832,Research & Development,Life Sciences,Female,63,Research Scientist,Married,2911,1,No,13,80,2,2,2,2,0,2
34,No,Travel_Rarely,470,Research & Development,Life Sciences,Male,84,Manufacturing Director,Married,5957,6,No,13,80,13,3,11,9,5,9
37,No,Travel_Rarely,1017,Research & Development,Medical,Female,83,Research Scientist,Married,3920,2,No,14,80,17,2,3,1,0,2
45,No,Travel_Frequently,1199,Research & Development,Life Sciences,Male,77,Manufacturing Director,Married,6434,4,No,17,80,9,1,3,2,0,2
37,Yes,Travel_Frequently,504,Research & Development,Medical,Male,61,Manufacturing Director,Divorced,10048,6,No,11,80,17,5,1,0,0,0
39,No,Travel_Frequently,505,Research & Development,Technical Degree,Female,64,Healthcare Representative,Single,10938,0,No,25,80,20,1,19,6,11,8
29,No,Travel_Rarely,665,Research & Development,Life Sciences,Male,60,Research Scientist,Single,2340,1,No,19,80,6,1,6,5,1,5
42,No,Travel_Rarely,916,Research & Development,Life Sciences,Female,82,Research Scientist,Single,6545,3,Yes,13,80,10,1,3,2,0,2
29,No,Travel_Rarely,1247,Sales,Marketing,Male,45,Sales Executive,Divorced,6931,2,No,14,80,10,2,3,2,0,2
25,No,Travel_Rarely,685,Research & Development,Life Sciences,Female,62,Manufacturing Director,Married,4898,0,No,12,80,5,3,4,2,1,2
42,No,Travel_Rarely,269,Research & Development,Medical,Female,56,Laboratory Technician,Divorced,2593,0,Yes,11,80,10,4,9,6,7,8
40,No,Travel_Rarely,1416,Research & Development,Medical,Male,49,Research Director,Divorced,19436,0,No,19,80,22,5,21,7,3,9
51,No,Travel_Rarely,833,Research & Development,Life Sciences,Male,96,Research Scientist,Married,2723,1,No,11,80,1,0,1,0,0,0
31,Yes,Travel_Frequently,307,Research & Development,Medical,Male,71,Laboratory Technician,Single,3479,0,No,11,80,6,2,5,4,1,4
32,No,Travel_Frequently,1311,Research & Development,Life Sciences,Male,100,Laboratory Technician,Married,2794,1,No,20,80,5,3,5,1,0,3
38,No,Non-Travel,1327,Sales,Life Sciences,Male,39,Sales Executive,Married,5249,3,No,18,80,13,0,8,7,7,5
32,No,Travel_Rarely,128,Research & Development,Technical Degree,Male,84,Laboratory Technician,Single,2176,4,No,13,80,9,5,6,2,0,4
46,No,Travel_Rarely,488,Sales,Technical Degree,Female,75,Manager,Married,16872,3,Yes,12,80,28,2,7,7,7,7
28,Yes,Travel_Rarely,529,Research & Development,Life Sciences,Male,79,Laboratory Technician,Single,3485,2,No,11,80,5,5,0,0,0,0
29,No,Travel_Rarely,1210,Sales,Medical,Male,78,Sales Executive,Married,6644,2,No,19,80,10,2,0,0,0,0
31,No,Travel_Rarely,1463,Research & Development,Medical,Male,64,Healthcare Representative,Married,5582,0,No,21,80,10,2,9,0,7,8
25,No,Non-Travel,675,Research & Development,Life Sciences,Male,85,Healthcare Representative,Divorced,4000,1,No,12,80,6,2,6,3,1,5
45,No,Travel_Rarely,1385,Research & Development,Medical,Male,79,Healthcare Representative,Married,13496,0,Yes,14,80,21,2,20,7,4,10
36,No,Travel_Rarely,1403,Research & Development,Life Sciences,Male,47,Laboratory Technician,Married,3210,0,No,11,80,16,4,15,13,10,11
55,No,Travel_Rarely,452,Research & Development,Medical,Male,81,Manager,Single,19045,0,Yes,14,80,37,2,36,10,4,13
47,Yes,Non-Travel,666,Research & Development,Life Sciences,Male,88,Manager,Married,11849,1,Yes,12,80,10,2,10,7,9,9
28,No,Travel_Rarely,1158,Research & Development,Medical,Male,94,Research Scientist,Married,2070,1,No,23,80,5,3,5,2,0,4
37,No,Travel_Rarely,228,Sales,Medical,Male,98,Sales Executive,Married,6502,4,No,14,80,7,5,5,4,0,1
21,No,Travel_Rarely,996,Research & Development,Medical,Male,100,Research Scientist,Single,3230,1,No,17,80,3,4,3,2,1,0
37,No,Non-Travel,728,Research & Development,Medical,Female,80,Research Director,Divorced,13603,2,Yes,18,80,15,2,5,2,0,2
35,No,Travel_Rarely,1315,Research & Development,Life Sciences,Female,71,Manager,Divorced,11996,7,No,18,80,10,6,7,7,6,2
38,No,Travel_Rarely,322,Sales,Medical,Female,44,Sales Executive,Divorced,5605,1,Yes,24,80,8,3,8,0,7,7
26,No,Travel_Frequently,1479,Research & Development,Life Sciences,Female,84,Manufacturing Director,Divorced,6397,1,No,20,80,6,6,6,5,1,4
50,No,Travel_Rarely,797,Research & Development,Life Sciences,Male,96,Research Director,Divorced,19144,3,No,14,80,28,4,10,4,1,6
53,No,Travel_Rarely,1070,Research & Development,Medical,Male,45,Research Director,Married,17584,3,Yes,16,80,21,5,5,3,1,3
42,No,Travel_Rarely,635,Sales,Life Sciences,Male,99,Sales Executive,Married,4907,1,No,25,80,20,3,20,16,11,6
29,No,Travel_Frequently,442,Sales,Life Sciences,Male,44,Sales Executive,Single,4554,1,No,18,80,10,3,10,7,0,9
55,No,Travel_Rarely,147,Research & Development,Technical Degree,Male,37,Laboratory Technician,Married,5415,3,Yes,19,80,12,4,10,7,0,8
26,No,Travel_Frequently,496,Research & Development,Medical,Male,60,Healthcare Representative,Married,4741,1,Yes,13,80,5,3,5,3,3,3
37,No,Travel_Rarely,1372,Research & Development,Life Sciences,Female,42,Research Scientist,Single,2115,1,No,12,80,17,3,17,12,5,7
44,Yes,Travel_Frequently,920,Research & Development,Life Sciences,Male,43,Laboratory Technician,Divorced,3161,3,Yes,22,80,19,0,1,0,0,0
38,No,Travel_Rarely,688,Research & Development,Life Sciences,Male,82,Healthcare Representative,Divorced,5745,9,No,14,80,10,2,2,2,1,2
26,Yes,Travel_Rarely,1449,Research & Development,Medical,Male,45,Laboratory Technician,Divorced,2373,2,Yes,13,80,5,2,3,2,0,2
28,No,Travel_Rarely,1117,Research & Development,Life Sciences,Female,66,Research Scientist,Single,3310,1,No,21,80,5,3,5,3,0,2
49,No,Travel_Frequently,636,Research & Development,Life Sciences,Female,35,Research Director,Single,18665,9,Yes,11,80,22,4,3,2,1,2
36,No,Travel_Rarely,506,Research & Development,Technical Degree,Male,30,Research Scientist,Single,4485,4,No,12,80,10,2,8,0,7,7
31,No,Travel_Frequently,444,Sales,Marketing,Female,84,Sales Representative,Divorced,2789,1,No,11,80,2,5,2,2,2,2
26,Yes,Travel_Rarely,950,Sales,Marketing,Male,48,Sales Executive,Single,5828,1,Yes,12,80,8,0,8,7,7,4
37,No,Travel_Frequently,889,Research & Development,Medical,Male,53,Research Scientist,Married,2326,1,Yes,12,80,4,3,4,2,1,2
42,No,Travel_Frequently,555,Sales,Marketing,Female,77,Sales Executive,Married,13525,5,No,14,80,23,2,20,4,4,8
18,Yes,Travel_Rarely,230,Research & Development,Life Sciences,Male,54,Laboratory Technician,Single,1420,1,No,13,80,0,2,0,0,0,0
35,No,Travel_Rarely,1232,Sales,Marketing,Male,96,Sales Executive,Married,8020,0,No,15,80,12,3,11,9,6,9
36,No,Travel_Frequently,566,Research & Development,Life Sciences,Male,81,Laboratory Technician,Married,3688,4,No,18,80,4,2,1,0,0,0
51,No,Travel_Rarely,1302,Research & Development,Medical,Male,84,Manufacturing Director,Divorced,5482,5,No,18,80,13,3,4,1,1,2
41,No,Travel_Rarely,334,Sales,Life Sciences,Male,88,Manager,Single,16015,1,No,19,80,22,2,22,10,0,4
18,No,Travel_Rarely,812,Sales,Medical,Female,69,Sales Representative,Single,1200,1,No,12,80,0,2,0,0,0,0
28,No,Travel_Rarely,1476,Research & Development,Medical,Male,68,Healthcare Representative,Single,5661,0,No,19,80,9,2,8,3,0,7
31,No,Travel_Rarely,218,Sales,Technical Degree,Male,100,Sales Executive,Married,6929,4,No,11,80,10,3,8,7,7,7
39,No,Travel_Rarely,1132,Research & Development,Medical,Male,48,Healthcare Representative,Divorced,9613,0,No,17,80,19,5,18,10,3,7
36,No,Non-Travel,1105,Research & Development,Life Sciences,Female,47,Laboratory Technician,Married,5674,7,No,15,80,11,3,9,8,0,8
32,No,Travel_Rarely,906,Sales,Life Sciences,Male,91,Sales Executive,Married,5484,1,No,14,80,13,3,13,8,4,8
38,No,Travel_Rarely,849,Research & Development,Life Sciences,Female,81,Research Director,Married,12061,3,No,17,80,19,2,10,8,0,1
58,No,Non-Travel,390,Research & Development,Life Sciences,Male,32,Healthcare Representative,Divorced,5660,2,Yes,13,80,12,2,5,3,1,2
31,No,Travel_Rarely,691,Research & Development,Technical Degree,Male,86,Research Scientist,Married,4821,0,Yes,12,80,6,4,5,2,0,3
31,No,Travel_Rarely,106,Human Resources,Human Resources,Male,62,Human Resources,Married,6410,3,No,12,80,9,1,2,2,1,0
45,No,Travel_Frequently,1249,Research & Development,Life Sciences,Male,97,Laboratory Technician,Divorced,5210,1,No,18,80,24,2,24,9,9,11
31,No,Travel_Rarely,192,Research & Development,Life Sciences,Male,32,Research Scientist,Divorced,2695,0,Yes,18,80,3,2,2,2,2,2
33,No,Travel_Frequently,553,Research & Development,Life Sciences,Female,74,Manager,Married,11878,6,No,11,80,12,2,10,6,8,8
39,No,Travel_Rarely,117,Research & Development,Medical,Male,99,Manager,Married,17068,1,Yes,14,80,21,3,21,9,11,10
43,No,Travel_Frequently,185,Research & Development,Life Sciences,Female,33,Laboratory Technician,Single,2455,0,No,19,80,9,5,8,7,1,7
49,No,Travel_Rarely,1091,Research & Development,Technical Degree,Female,90,Healthcare Representative,Single,13964,7,Yes,12,80,25,2,7,1,0,7
52,Yes,Travel_Rarely,723,Research & Development,Medical,Male,85,Research Scientist,Married,4941,2,No,15,80,11,3,8,2,7,7
27,No,Travel_Rarely,1220,Research & Development,Life Sciences,Female,85,Research Scientist,Single,2478,1,Yes,12,80,4,2,4,3,1,2
32,No,Travel_Rarely,588,Sales,Technical Degree,Female,65,Sales Executive,Married,5228,1,Yes,11,80,13,2,13,12,11,9
27,No,Travel_Rarely,1377,Sales,Life Sciences,Male,74,Sales Executive,Single,4478,1,Yes,11,80,5,3,5,4,0,4
31,No,Travel_Rarely,691,Sales,Marketing,Male,73,Sales Executive,Divorced,7547,4,No,12,80,13,3,7,7,1,7
32,No,Travel_Rarely,1018,Research & Development,Medical,Female,74,Research Scientist,Single,5055,7,No,16,80,10,0,7,7,0,7
28,Yes,Travel_Rarely,1157,Research & Development,Medical,Male,84,Research Scientist,Married,3464,5,Yes,13,80,5,4,3,2,2,2
30,No,Travel_Rarely,1275,Research & Development,Medical,Female,64,Research Scientist,Married,5775,1,No,13,80,11,2,10,8,1,9
31,No,Travel_Frequently,798,Research & Development,Life Sciences,Female,48,Manufacturing Director,Married,8943,1,No,24,80,10,2,10,9,8,9
39,No,Travel_Frequently,672,Research & Development,Medical,Male,54,Manager,Married,19272,1,No,15,80,21,2,21,9,13,3
39,Yes,Travel_Rarely,1162,Sales,Medical,Female,41,Sales Executive,Married,5238,4,Yes,18,80,12,3,1,0,0,0
33,No,Travel_Frequently,508,Sales,Marketing,Male,46,Sales Executive,Single,4682,3,No,14,80,9,6,7,7,0,1
47,No,Travel_Rarely,1482,Research & Development,Life Sciences,Male,42,Research Director,Married,18300,4,No,11,80,21,2,3,2,1,1
43,No,Travel_Frequently,559,Research & Development,Life Sciences,Female,82,Laboratory Technician,Divorced,5257,1,No,11,80,9,3,9,7,0,0
27,No,Non-Travel,210,Sales,Marketing,Male,73,Sales Executive,Married,6349,0,Yes,13,80,6,0,5,4,1,4
54,No,Travel_Frequently,928,Research & Development,Life Sciences,Female,31,Research Scientist,Single,4869,3,No,12,80,20,4,4,3,0,3
43,No,Travel_Rarely,1001,Research & Development,Life Sciences,Female,43,Healthcare Representative,Married,9985,8,No,16,80,10,1,1,0,0,0
45,No,Travel_Rarely,549,Research & Development,Other,Male,75,Research Scientist,Married,3697,9,No,14,80,12,3,10,9,9,8
40,No,Travel_Rarely,1124,Sales,Medical,Male,57,Sales Executive,Married,7457,2,Yes,22,80,6,2,4,3,0,2
29,Yes,Travel_Rarely,318,Research & Development,Other,Male,77,Laboratory Technician,Married,2119,1,Yes,11,80,7,4,7,7,0,7
29,No,Travel_Rarely,738,Research & Development,Other,Male,30,Laboratory Technician,Single,3983,0,No,17,80,4,2,3,2,2,2
30,No,Travel_Rarely,570,Sales,Marketing,Female,30,Sales Executive,Divorced,6118,1,No,13,80,10,2,10,9,1,2
27,No,Travel_Rarely,1130,Sales,Marketing,Female,56,Sales Executive,Married,6214,1,No,18,80,8,3,8,7,0,7
37,No,Travel_Rarely,1192,Research & Development,Medical,Male,61,Manufacturing Director,Divorced,6347,7,No,16,80,8,2,6,2,0,4
38,No,Travel_Rarely,343,Research & Development,Life Sciences,Male,92,Research Director,Divorced,11510,0,Yes,14,80,12,3,11,10,2,9
31,No,Travel_Rarely,1232,Research & Development,Medical,Female,39,Manufacturing Director,Single,7143,1,Yes,14,80,11,2,11,9,4,10
29,No,Travel_Rarely,144,Sales,Marketing,Female,39,Sales Executive,Divorced,8268,1,Yes,14,80,7,2,7,7,1,7
35,No,Travel_Rarely,1296,Research & Development,Technical Degree,Male,62,Manufacturing Director,Single,8095,0,No,13,80,17,5,16,6,0,13
23,No,Travel_Rarely,1309,Research & Development,Life Sciences,Male,83,Research Scientist,Divorced,2904,1,No,12,80,4,2,4,2,0,2
41,No,Travel_Rarely,483,Research & Development,Medical,Male,95,Manufacturing Director,Single,6032,6,Yes,15,80,8,3,5,4,1,2
47,No,Travel_Frequently,1309,Sales,Medical,Male,99,Sales Representative,Single,2976,3,No,19,80,5,3,0,0,0,0
42,No,Travel_Rarely,810,Research & Development,Life Sciences,Female,44,Research Director,Single,15992,2,No,14,80,16,2,1,0,0,0
29,No,Non-Travel,746,Sales,Life Sciences,Male,61,Sales Executive,Married,4649,1,No,14,80,4,3,4,3,0,2
42,No,Travel_Rarely,544,Human Resources,Technical Degree,Male,52,Human Resources,Divorced,2696,0,Yes,11,80,4,5,3,2,1,0
32,No,Travel_Rarely,1062,Research & Development,Medical,Female,75,Laboratory Technician,Married,2370,1,No,13,80,8,4,8,0,0,7
48,No,Travel_Rarely,530,Sales,Medical,Female,91,Manager,Married,12504,3,No,21,80,15,3,0,0,0,0
37,No,Travel_Rarely,1319,Research & Development,Medical,Male,51,Research Scientist,Divorced,5974,4,Yes,13,80,13,2,7,7,6,7
30,No,Non-Travel,641,Sales,Technical Degree,Female,85,Sales Executive,Married,4736,7,Yes,12,80,4,2,2,2,2,2
26,No,Travel_Rarely,933,Sales,Life Sciences,Male,57,Sales Executive,Married,5296,1,No,17,80,8,3,8,7,7,7
42,No,Travel_Rarely,1332,Research & Development,Other,Male,98,Healthcare Representative,Single,6781,3,No,23,80,14,6,1,0,0,0
21,Yes,Travel_Frequently,756,Sales,Technical Degree,Female,99,Sales Representative,Single,2174,1,Yes,11,80,3,3,3,2,1,2
36,No,Non-Travel,845,Sales,Medical,Female,45,Sales Executive,Single,6653,4,No,15,80,7,6,1,0,0,0
36,No,Travel_Frequently,541,Sales,Medical,Male,48,Sales Executive,Married,9699,4,No,11,80,16,2,13,9,1,12
57,No,Travel_Rarely,593,Research & Development,Medical,Male,88,Healthcare Representative,Married,6755,2,No,11,80,15,2,3,2,1,2
40,No,Travel_Rarely,1171,Research & Development,Life Sciences,Female,46,Laboratory Technician,Married,2213,3,Yes,13,80,10,3,7,7,1,7
21,No,Non-Travel,895,Sales,Medical,Male,39,Sales Representative,Single,2610,1,No,24,80,3,3,3,2,2,2
33,Yes,Travel_Rarely,350,Sales,Marketing,Female,34,Sales Representative,Single,2851,1,Yes,13,80,1,2,1,0,0,0
37,No,Travel_Rarely,921,Research & Development,Medical,Female,98,Laboratory Technician,Married,3452,6,No,20,80,17,3,5,4,0,3
46,No,Non-Travel,1144,Research & Development,Medical,Female,30,Manufacturing Director,Married,5258,2,No,14,80,7,2,1,0,0,0
41,Yes,Travel_Frequently,143,Sales,Marketing,Male,56,Sales Executive,Single,9355,1,No,18,80,8,5,8,7,7,7
50,No,Travel_Rarely,1046,Research & Development,Technical Degree,Male,100,Healthcare Representative,Single,10496,6,No,15,80,20,2,4,3,1,3
40,Yes,Travel_Rarely,575,Sales,Marketing,Male,68,Sales Executive,Married,6380,2,Yes,12,80,8,6,6,4,1,0
31,No,Travel_Rarely,408,Research & Development,Life Sciences,Male,42,Research Scientist,Single,2657,0,Yes,16,80,3,5,2,2,2,2
21,Yes,Travel_Rarely,156,Sales,Life Sciences,Female,90,Sales Representative,Single,2716,1,No,15,80,1,0,1,0,0,0
29,No,Travel_Rarely,1283,Research & Development,Life Sciences,Male,54,Research Scientist,Single,2201,9,No,16,80,6,4,3,2,1,2
35,No,Travel_Rarely,755,Research & Development,Life Sciences,Male,97,Healthcare Representative,Single,6540,9,No,19,80,10,5,1,1,0,0
27,No,Travel_Rarely,1469,Research & Development,Medical,Male,82,Laboratory Technician,Divorced,3816,1,No,11,80,5,2,5,2,0,4
28,No,Travel_Rarely,304,Sales,Life Sciences,Male,92,Sales Executive,Single,5253,1,No,16,80,7,1,7,5,0,7
49,No,Travel_Rarely,1261,Research & Development,Other,Male,31,Healthcare Representative,Single,10965,8,No,24,80,26,2,5,2,0,0
51,No,Travel_Rarely,1178,Sales,Life Sciences,Female,87,Sales Executive,Married,4936,4,No,11,80,18,2,7,7,0,7
36,No,Travel_Rarely,329,Research & Development,Life Sciences,Female,96,Research Scientist,Married,2543,4,No,13,80,6,3,2,2,2,2
34,Yes,Non-Travel,1362,Sales,Marketing,Male,67,Sales Executive,Single,5304,8,Yes,13,80,9,3,5,2,0,4
55,No,Travel_Rarely,1311,Research & Development,Life Sciences,Female,97,Manager,Single,16659,2,Yes,13,80,30,2,5,4,1,2
24,No,Travel_Rarely,1371,Sales,Marketing,Female,77,Sales Executive,Divorced,4260,1,Yes,12,80,5,2,5,2,0,3
30,No,Travel_Rarely,202,Sales,Technical Degree,Male,72,Sales Representative,Married,2476,1,No,18,80,1,3,1,0,0,0
26,Yes,Travel_Frequently,575,Research & Development,Technical Degree,Male,73,Research Scientist,Single,3102,0,No,22,80,7,2,6,4,0,4
22,No,Travel_Rarely,253,Research & Development,Medical,Female,43,Research Scientist,Married,2244,1,No,13,80,2,1,2,1,1,2
36,No,Travel_Rarely,164,Sales,Medical,Male,61,Sales Executive,Married,7596,1,No,13,80,10,2,10,9,9,0
30,Yes,Travel_Frequently,464,Research & Development,Technical Degree,Male,40,Research Scientist,Single,2285,9,Yes,23,80,3,4,1,0,0,0
37,No,Travel_Rarely,1107,Research & Development,Life Sciences,Female,95,Laboratory Technician,Divorced,3034,1,No,12,80,18,2,18,7,12,17
40,No,Travel_Rarely,759,Sales,Marketing,Female,46,Sales Executive,Divorced,5715,7,No,12,80,8,5,5,4,1,3
42,No,Travel_Rarely,201,Research & Development,Life Sciences,Female,95,Laboratory Technician,Divorced,2576,3,No,16,80,8,5,5,2,1,2
37,No,Travel_Rarely,1305,Research & Development,Life Sciences,Male,49,Manufacturing Director,Single,4197,2,Yes,12,80,18,2,1,0,0,1
43,No,Travel_Rarely,982,Research & Development,Life Sciences,Male,59,Research Director,Divorced,14336,1,No,11,80,25,3,25,10,3,9
40,No,Travel_Rarely,555,Research & Development,Medical,Female,78,Laboratory Technician,Married,3448,6,No,22,80,20,3,1,0,0,0
54,No,Travel_Rarely,821,Research & Development,Medical,Male,86,Research Director,Married,19406,4,No,11,80,24,4,4,2,1,2
34,No,Non-Travel,1381,Sales,Marketing,Female,72,Sales Executive,Married,6538,9,No,15,80,6,3,3,2,1,2
31,No,Travel_Rarely,480,Research & Development,Medical,Female,31,Manufacturing Director,Married,4306,1,No,12,80,13,5,13,10,3,12
43,No,Travel_Frequently,313,Research & Development,Medical,Male,61,Laboratory Technician,Married,2258,7,No,20,80,8,1,3,2,1,2
43,No,Travel_Rarely,1473,Research & Development,Other,Female,74,Healthcare Representative,Divorced,4522,4,Yes,14,80,8,3,5,2,0,2
25,No,Travel_Rarely,891,Sales,Life Sciences,Female,99,Sales Executive,Single,4487,1,Yes,11,80,5,3,5,4,1,3
37,No,Non-Travel,1063,Research & Development,Medical,Female,72,Research Scientist,Married,4449,3,Yes,15,80,15,2,13,11,10,7
31,No,Travel_Rarely,329,Research & Development,Life Sciences,Male,98,Laboratory Technician,Married,2218,1,No,12,80,4,3,4,2,3,2
39,No,Travel_Frequently,1218,Research & Development,Life Sciences,Male,52,Manager,Divorced,19197,1,Yes,14,80,21,3,21,8,1,6
56,No,Travel_Frequently,906,Sales,Life Sciences,Female,86,Sales Executive,Married,13212,9,No,11,80,36,0,7,7,7,7
30,No,Travel_Rarely,1082,Sales,Technical Degree,Female,83,Sales Executive,Single,6577,0,No,11,80,6,6,5,4,4,4
41,No,Travel_Rarely,645,Sales,Marketing,Male,49,Sales Executive,Married,8392,1,No,16,80,10,2,10,7,0,7
28,No,Travel_Rarely,1300,Research & Development,Medical,Male,79,Laboratory Technician,Divorced,4558,1,No,12,80,10,2,10,0,1,8
25,Yes,Travel_Rarely,688,Research & Development,Medical,Male,91,Laboratory Technician,Married,4031,5,No,13,80,6,5,2,2,0,2
52,No,Travel_Rarely,319,Research & Development,Medical,Male,39,Manufacturing Director,Married,7969,2,Yes,14,80,28,4,5,4,0,4
45,No,Travel_Rarely,192,Research & Development,Life Sciences,Male,69,Research Scientist,Married,2654,3,No,21,80,8,3,2,2,0,2
52,No,Travel_Rarely,1490,Research & Development,Life Sciences,Female,30,Manager,Married,16555,2,No,13,80,31,2,5,2,1,4
42,No,Travel_Frequently,532,Research & Development,Life Sciences,Female,92,Research Scientist,Divorced,4556,2,No,11,80,19,3,5,4,0,2
30,No,Travel_Rarely,317,Research & Development,Life Sciences,Female,43,Manufacturing Director,Single,6091,2,No,20,80,11,2,5,4,0,2
60,No,Travel_Rarely,422,Research & Development,Life Sciences,Female,41,Manager,Married,19566,5,No,11,80,33,5,29,8,11,10
46,No,Travel_Rarely,1485,Research & Development,Medical,Female,87,Manufacturing Director,Divorced,4810,2,No,14,80,19,5,10,7,0,8
42,No,Travel_Frequently,1368,Research & Development,Technical Degree,Female,88,Healthcare Representative,Married,4523,0,No,11,80,7,4,6,5,0,4
24,Yes,Travel_Rarely,1448,Sales,Technical Degree,Female,62,Sales Representative,Single,3202,1,Yes,16,80,6,4,5,3,1,4
34,Yes,Travel_Frequently,296,Sales,Marketing,Female,33,Sales Representative,Divorced,2351,0,No,16,80,3,3,2,2,1,0
