ID,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Status
349,5,28,3117,2413,13738,6326,1452,1612,25,126,1,6,5,1,Not Default
3491,8,45,1473,1473,2477,3366,1473,44314,1473,2477,3366,1473,44314,4,Default
3492,22,3,72546,74618,62379,37137,-669,1469,526,3176,1258,14,157,629,Not Default
3493,2.00E+00,45,2378,162374,154234,143953,147834,147373,661,748,516,1294,5136,5225,Not Default
3494,12,24,11296,122,11761,6761,7189,187,14,1,,1,187,81,Not Default
3495,1.00E+00,25,98499,1151,9853,98949,48552,49545,5,,39,181,18,2,Not Default
3496,1.00E+00,59,,724,772,155,1279,3592,724,1,1558,1279,3592,,Not Default
3497,5,23,525,22656,1961,1781,1878,18137,1626,1581,1,9,7,1,Not Default
3498,24,37,228,5652,34351,22241,8472,5,5665,35,8877,5,,21257,Not Default
3499,6,28,2295,5293,13421,99,31,16,6,1,9,31,,34,Not Default
35,26,34,8214,2149,365,75,,,2151,365,75,,,377,Default
351,3,56,17643,18564,17969,2645,21666,2117,15,,3,15,,19,Default
352,44,4,5448,5791,61914,65863,69792,73346,5,5,5,5,5,5,Not Default
353,36,3,13225,132655,135959,139796,143642,147418,5,5,5,5,5,5,Not Default
354,5,26,531,3415,34536,,,,29,1,,,,,Default
355,27,5,316,316,316,5772,316,316,316,316,5772,316,316,5174,Not Default
356,15,27,3585,3138,,,,,6,,,,,,Not Default
357,2.00E+00,26,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8285,Not Default
358,5,36,4451,42564,38181,385,28252,28783,3,3,3,2,2,5,Not Default
359,21,33,97,2273,133,5385,1814,,133,3,5387,1814,,,Not Default
351,5,27,4776,4564,45744,43123,42343,432,,34,,1528,338,,Default
3511,5,24,19839,2231,2142,1992,19722,2437,1328,1315,73,723,15,668,Not Default
3512,44,29,2643,2359,278956,274859,99618,13884,1249,27948,1758,5,58,2515,Not Default
3513,6,28,43662,42682,4563,44569,47452,46536,,3628,,36,,4,Default
3514,7,41,617,8798,381,279,,4513,3,15,,,4513,,Not Default
3515,29,25,71559,66658,68627,61578,59274,61314,25,3,3,3,3,3,Not Default
3516,14,29,487,487,21,,,,487,21,,,,299,Not Default
3517,31,33,11786,11554,117674,1813,114721,15624,6555,6,3272,15874,4182,15694,Not Default
3518,45,36,-44,1223,2,,,,1267,2,,,,,Not Default
3519,36,34,997,1267,3935,2437,2797,256,127,3946,2444,285,258,1,Not Default
352,55,34,383973,3882,389694,342198,34488,347188,15,2,2,12,12,13,Not Default
3521,18,44,,,,,,,,,,,,43,Not Default
3522,14,37,34661,539,51293,5674,59455,57532,5334,56,946,9461,257,17,Not Default
3523,5,33,1794,17779,19275,18829,15913,7561,2,3,1,1,1,2115,Not Default
3524,2.00E+00,3,,,441,653,5,6,,441,653,5,6,751,Not Default
3525,6,39,54282,49541,4674,39917,39382,39799,2128,168,1391,141,158,1548,Not Default
3526,14,28,3234,4324,5477,449,15,-51183,434,5491,213,151,18,89898,Not Default
3527,7,42,7293,69199,66398,66282,6758,67273,33,26,26,3,26,26,Not Default
3528,2,5,7973,9686,9382,1821,1361,146,2,,16,,,15,Not Default
3529,1.00E+00,24,68963,6488,6536,5578,51724,48671,3,27,2,19,17,1794,Not Default
353,36,33,,,,,,,,,,,,,Not Default
3531,1.00E+00,24,44,47,47,47,,,5,47,47,,,,Not Default
3532,16,41,26736,2952,28328,2999,29724,3624,3,,12,12,15,2,Not Default
3533,16,27,163418,164211,165587,16195,16168,16431,62,76,61,59,63,75,Not Default
3534,13,26,296,1299,-1,5,,936,13,,51,,936,12,Default
3535,1.00E+00,4,48923,4844,46266,4545,44723,42934,284,1973,178,1728,1621,1359,Not Default
3536,9,35,15952,1878,19177,18574,19721,19254,31,1,,16,,8,Default
3537,8,23,8613,12438,15212,15657,1744,1913,4,3,1,2,2,2836,Not Default
3538,22,28,216435,219973,215959,21438,27114,21491,8355,1,,,68,97,Default
3539,26,39,5912,3768,1444,242,24,3172,3786,1451,2424,25,3187,1972,Default
354,3,45,25161,24476,28721,31262,3217,29158,,5,33,,,,Default
3541,1.00E+00,4,4535,3546,-216,8538,39,15,,,1644,,15,78,Default
3542,8,39,5584,51265,4795,48869,49445,49979,312,21,21,21,2,1782,Not Default
3543,2,31,5526,5561,2935,599,,,132,2938,639,,,,Not Default
3544,14,41,19853,22525,25141,2971,34197,38615,3,3,5,5,5,3,Not Default
3545,3,25,,,,,,,,,,,,,Default
3546,9,39,2612,21956,2328,23812,24377,24821,1676,2,122,11,1,11,Not Default
3547,15,23,59555,59684,5951,5975,59171,53557,2812,2599,2143,228,2112,5,Not Default
3548,25,28,19135,9497,92278,93354,9539,97411,3899,3913,3186,331,3525,395,Not Default
3549,2,37,19911,2797,285,2126,2469,2655,15,,5,65,6,,Default
355,5,28,2914,2933,2515,7885,14493,2113,187,2522,7951,14493,212,327,Not Default
3551,1.00E+00,31,2,1,3,2,1,115,,3,,,115,,Default
3552,5.00E+00,46,358,18785,1742,37171,6192,31453,18785,1742,37171,6192,31453,12333,Not Default
3553,5,36,47357,4926,5556,12557,9959,11361,3,3266,6,1672,2,1,Not Default
3554,4,27,32228,3894,4235,8723,72647,657,84,4235,8723,3,1,4317,Not Default
3555,8,35,7553,79324,769,75892,7731,8752,7,,3,4,5,,Not Default
3556,1.00E+00,35,45124,46168,4716,98775,49513,53433,173,1722,3214,2119,564,,Not Default
3557,18,29,173,3191,1693,11285,13863,5646,326,1696,1291,3877,1177,7,Not Default
3558,9,53,87235,88338,78994,595,48987,49519,4,262,2,3,2,5,Not Default
3559,1,23,182,2731,757,876,3551,,2731,757,876,3551,,1346,Not Default
356,2.00E+00,33,165,145,-2,446,165,,145,,631,,,165,Not Default
3561,8,57,7431,9895,9937,9629,1571,1749,26,35,,11,5,13,Default
3562,9,33,6211,63426,64288,65236,66639,67893,3,25,26,26,25,28,Default
3563,8,42,39,,,,,,,,,,,,Default
3564,9,24,124457,118666,1586,98257,91442,66762,66,,2915,3154,2977,9,Default
3565,8,46,235,235,47,235,235,235,235,47,,235,235,35,Not Default
3566,14,27,832,,825,49,521,416,,825,,528,416,159,Default
3567,48,39,39838,394515,393648,33221,2964,279768,291,2537,1523,1213,1213,1135,Not Default
3568,23,39,276758,282285,269849,255954,23529,23223,12,1,83,,86,627,Not Default
3569,7,27,4168,3942,1929,287,1435,347,,,198,,347,,Default
357,2.00E+00,39,12682,127734,12525,11334,114667,11138,6216,4371,437,6613,455,3575,Not Default
3571,18,35,66376,6733,68862,7197,69843,67219,5,4,5,3,27,3,Not Default
3572,19,37,181295,178857,181463,178984,175131,17136,819,88,67,68,6324,612,Not Default
3573,2,24,18817,18227,19632,2298,2337,19863,,172,1754,893,,4,Not Default
3574,1,24,768,116,9844,9554,9515,97,2616,,4,499,5,9,Default
3575,8,45,81133,81466,8822,7927,79652,81165,352,3,4,31,3,3,Not Default
3576,6,28,53567,59629,6943,6716,58458,49529,695,325,1767,,3654,,Not Default
3577,5.00E+00,37,4168,19169,22893,522,16521,-38,19169,22893,53198,,,12,Not Default
3578,5,42,55,1974,125,14,7,55,1974,,7,,55,11,Default
3579,36,28,,42,,742,,,42,,742,,,198,Not Default
358,1,56,7324,988,951,129,973,9974,269,,83,,4,5,Not Default
3581,3.00E+00,54,26,555,,718,468,366,555,,718,468,366,,Default
3582,7,48,8439,766,8638,123,39,89,1188,2,123,39,89,215,Not Default
3583,25,32,39936,16666,16998,1754,,,8666,16998,1754,,,,Not Default
3584,1,51,3577,612,666,582,626,768,25,3,,3,1774,284,Default
3585,14,28,25184,27742,3129,21477,2697,24767,5,311,5,5,3,5,Not Default
3586,1.00E+00,4,,,,,,,,,,,,,Not Default
3587,11,31,,,638,225,225,,,638,225,,,,Not Default
3588,21,38,291,291,291,291,291,291,291,291,291,291,291,1451,Not Default
3589,21,4,14472,68,,,,,68,,,,,,Not Default
359,7,26,4921,48134,52431,52479,53345,52333,,51,2,2,,446,Default
3591,2,47,15166,1514,1624,16345,17579,1875,1257,1267,588,15,15,,Not Default
3592,22,31,4935,3796,5227,2291,4739,164,3796,5227,2293,4739,164,312,Not Default
3593,2,51,18355,17165,17676,183,2278,2192,16,15,9,36,393,,Default
3594,8,28,56272,58756,59587,6997,62856,66897,4,24,3,3,51,,Not Default
3595,5.00E+00,42,56787,48749,478965,41635,423136,422271,21,17414,12,3,18,11,Default
3596,21,66,29396,13689,139411,138991,14886,143721,651,645,513,55,537,511,Not Default
3597,8,27,76896,78663,78692,5632,57248,58515,3613,31,2,21,22,241,Default
3598,5,37,4994,43594,38222,1326,13268,13497,55,,58,6,6,6,Not Default
3599,24,35,,1191,5736,1,65,7574,1191,5758,,15,7424,,Not Default
36,15,23,198,4824,1276,483,1251,576,4848,1282,4854,1251,,7328,Not Default
361,21,49,,,,,,,,,,,,,Not Default
362,36,28,,,,,,,,,,,,,Default
363,23,29,769,64375,65691,6715,68398,69917,3,2386,2553,2483,2657,3,Not Default
364,5.00E+00,35,-453,1168,1215,6461,2567,735,2336,1215,6461,2567,147,1165,Not Default
365,15,34,5523,4654,46191,45564,4584,4777,1763,25,2,2,2,21,Not Default
366,3,31,27254,26531,27857,29685,3126,3468,,1772,26,22,,,Default
367,47,57,83852,858,83882,6627,65549,685,3477,41,222,21,2156,174,Not Default
368,2.00E+00,59,27119,2881,3299,29516,31378,31914,17,3,,25,12,,Not Default
369,47,35,211775,218246,218615,221365,137387,21955,9883,6,6194,3364,118,4817,Not Default
361,31,32,5334,85711,69195,59169,1256,132,6922,395,5,2,158,23219,Not Default
3611,21,28,24191,2453,185587,13641,1451,142976,9,97,5254,6,55,5,Not Default
3612,5.00E+00,41,24433,18726,1894,29161,28238,33272,18726,199,29161,28238,33272,175357,Not Default
3613,8,27,72991,75134,7683,81183,7996,75294,332,28,64,287,,315,Not Default
3614,2,38,1185,12186,9331,6927,12457,89,14,123,,12469,598,1,Default
3615,15,32,376,493,6563,6946,6619,6196,493,3,1,13,5,5,Not Default
3616,39,39,475934,3818,25228,185134,181949,136559,59324,693,5411,625,5,3617,Not Default
3617,1,29,128,8598,71,935,985,572,15,1,4,5,25,,Not Default
3618,39,46,14315,797,6548,8976,99,17682,797,6548,8976,99,17682,1271,Not Default
3619,21,41,39,1732,117,78,39,69438,1732,,,,69438,375,Default
362,35,33,16414,693,693,1144,-4618,-826,693,,1144,4279,,,Default
3621,15,35,3299,596,978,1178,17,275,599,982,17,5,275,2669,Not Default
3622,21,36,54717,55522,54929,55696,54773,51616,217,19,19,1925,1845,1886,Not Default
3623,1.00E+00,55,18135,31498,17158,18758,17168,,2,4,2,3,,,Not Default
3624,21,36,21463,19132,47182,3767,24511,22634,5187,243,1552,213,32,33,Default
3625,29,48,31386,31394,1369,151,328,,3141,1369,151,328,,3357,Not Default
3626,33,5,-13,275,-27,5344,16566,995,2763,,5371,16648,1,997,Default
3627,5,37,571,5462,5218,2141,272,19493,222,283,697,711,717,674,Not Default
3628,8,27,47163,8621,444,23954,24574,24772,1821,36,1,1,1,1,Not Default
3629,34,35,39229,4747,4193,43397,4471,46143,2,2,2,2,2,2,Not Default
363,12,38,4538,4187,58882,59862,51172,52533,1988,18,1857,1723,275,15,Not Default
3631,3,22,3158,5547,3312,3145,322,3247,5572,3321,3154,331,3339,2921,Not Default
3632,26,35,2556,25256,5175,46516,42815,394,9581,3,159,1472,1317,1314,Not Default
3633,5,64,48369,44762,1743,1797,19,1855,2384,5461,2872,193,1955,2239,Not Default
3634,42,25,72874,7135,5753,56467,53995,5534,,2,1892,1979,2226,2311,Default
3635,13,28,71983,71514,73274,3541,3333,3333,4,7,36,3333,3333,311,Not Default
3636,27,3,62599,59368,57856,4984,4731,42812,5,5,5,5,524,5,Not Default
3637,5,3,6615,764,8649,932,98,9188,1135,1144,797,,329,49,Not Default
3638,2,34,17179,17815,9519,1469,14272,1533,13,15,1415,4,1,1,Default
3639,14,34,132541,136186,139418,14962,137819,13794,7,7,53,53,11,54,Not Default
364,1.00E+00,35,16229,98217,42482,43326,44235,45498,3,177,1551,167,2,2,Not Default
3641,5,41,29368,28612,31623,33393,32587,31914,,35,2589,,,1332,Not Default
3642,5.00E+00,37,27181,12525,7218,2183,6371,528,7254,228,11,642,5234,2899,Not Default
3643,8,35,7857,8327,8125,28345,28938,29665,385,2969,17,142,12,151,Not Default
3644,22,34,51565,15683,1381,33,2452,2728,15683,1381,33,2452,2728,,Default
3645,3,34,27358,25652,26723,2714,28616,2912,175,18,1118,21,11,,Not Default
3646,24,26,161766,166147,169882,173246,177112,187951,7,65,6183,664,14,,Not Default
3647,22,41,184,3447,1451,7229,1286,35433,34415,14565,7229,1286,35433,1145,Not Default
3648,32,32,6443,443,-1327,28484,47711,34755,451,,29811,2,2386,462,Not Default
3649,23,36,52689,,15,15,921,771,,15,,921,,51362,Not Default
365,2,44,78,39,39,39,39,,,39,39,39,,78,Not Default
3651,28,34,82691,75867,76835,7722,6694,6232,35,32,25,24,25,25,Not Default
3652,11,44,111188,19512,18727,17381,16831,1835,61,557,45,452,42,45,Not Default
3653,18,26,186248,1781,145248,58142,22312,734,18,544,656,5,5,2,Not Default
3654,1.00E+00,51,9397,93752,92293,92434,95478,4514,3799,3269,347,524,556,5135,Not Default
3655,8,37,43311,16348,936,6295,14844,2965,5377,9383,6295,118,21939,52,Not Default
3656,26,3,1264,6894,2917,-7,23,2784,6894,2917,,2784,5568,1714,Not Default
3657,11,25,111483,114125,11487,113879,112268,17423,59,35,34,,4,4,Not Default
3658,15,31,1414,18229,19374,111279,125353,126913,55,45,3241,155,4,3568,Not Default
3659,18,35,15288,4194,13,,4689,4689,4194,13,,4689,,1582,Not Default
366,23,28,53542,79186,49984,35526,2454,1638,36,1222,751,491,66,,Not Default
3661,5.00E+00,27,73798,74781,75559,76426,56197,42998,4794,556,2426,3521,1641,913,Not Default
3662,3.00E+00,3,1485,-9,1197,1292,1116,829,,11979,26,1,4,11591,Not Default
3663,18,31,326,326,326,326,76465,79695,326,326,326,76465,5,5,Not Default
3664,3,24,15,15,15,15,15,15,,,,,,,Default
3665,11,29,6467,692,6242,6712,871,16391,1114,,1,,16391,832,Not Default
3666,1.00E+00,28,36428,4885,294,13955,14573,1684,6,5,1,4,5,8,Not Default
3667,39,31,381453,375926,363787,291427,2626,178599,1524,32,1552,157,251,2582,Not Default
3668,18,35,29197,3719,315,31939,,,2,14,639,,,,Not Default
3669,3.00E+00,37,5975,5312,1896,1523,2559,2881,195,5,1527,2569,2889,274,Not Default
367,26,36,774,1445,782,79,849,12319,1445,782,79,849,12319,7575,Not Default
3671,36,29,,,,,,,,,,,,,Not Default
3672,8,26,59,437,3586,2248,2222,4822,525,3519,221,223,8389,848,Not Default
3673,1.00E+00,26,26273,-73,-73,-73,-73,-73,,,,,,,Default
3674,2,47,14328,17196,17418,1768,17187,17528,3114,8,77,,776,549,Default
3675,21,33,2742,,188,16464,13947,,,188,16476,,,,Not Default
3676,1,25,6991,88,918,9198,9896,973,1126,1136,316,833,1,292,Not Default
3677,15,26,36,36,36,16133,2239,22377,36,36,16133,7,796,819,Not Default
3678,36,37,39,39,39,39,39,39,39,39,39,39,39,78,Not Default
3679,8,42,16959,1791,14919,15375,-15,-15,1235,1369,825,,,,Not Default
368,13,29,13194,943,15383,9189,8499,1738,943,17,184,17,1738,5256,Not Default
3681,3,36,9934,135,1394,1594,566,,1,1,2,,,,Not Default
3682,43,3,332721,2778,219739,21142,17935,13328,1896,8123,7522,73,47,5,Default
3683,2,23,16641,17969,18635,-1542,1999,19417,162,1268,,21451,,652,Not Default
3684,5,32,5342,44659,4893,-45,-45,,825,523,,,525,,Not Default
3685,14,26,129996,1324,127275,48724,48875,49667,7,5,2,2,2,2,Not Default
3686,2.00E+00,32,11494,985,5455,26975,8734,1756,9139,5481,2711,29889,189,2648,Not Default
3687,8,28,65499,63882,67741,69355,65139,6345,,5,32,7,239,3862,Not Default
3688,5,23,1263,11999,1299,12793,12686,1298,1211,122,452,46,54,394,Default
3689,28,27,297192,284462,283374,23839,23417,145132,,11143,73,624,6,35,Not Default
369,71,51,,,,,,,,,,,,,Not Default
3691,18,29,,1.00E+00,,7632,,671,1.00E+00,,7632,,671,,Not Default
3692,5.00E+00,39,1216,12559,18993,5199,22879,167,13351,18997,5933,24652,186,336,Not Default
3693,36,33,,,,,,,,,,,,,Default
3694,5,29,2258,22932,22265,23896,26514,2873,3,,2,3,2,15,Not Default
3695,8,27,62824,63883,57722,116742,7224,7915,2178,2674,22,1471,8,35,Default
3696,5,44,43596,4632,43976,44287,38113,3778,5,,25,15,2,1,Not Default
3697,5,23,13717,13822,9847,5892,6413,6915,28,116,1,1,1,1,Not Default
3698,15,33,1532,1,143,81,786,447,,143,81,786,447,2215,Not Default
3699,36,28,,,,,,,,,,,,,Default
37,5,32,49547,4974,5275,289,19964,19918,21,297,1289,712,713,1,Not Default
371,5,48,834,8,499,3596,1386,4775,16,499,13616,131,4789,1345,Not Default
372,2.00E+00,29,9344,723,723,138,235,3664,723,723,138,235,3664,723,Not Default
373,8,29,-54,36656,5114,,,,3671,5114,,,,,Not Default
374,14,46,39,39,39,39,39,39,39,39,39,39,39,78,Not Default
375,2,22,14993,16244,183,181,-19,,18,28,,,19,,Default
376,8,34,,,,,,,,,,,,,Not Default
377,11,3,17372,19156,111795,54358,58499,61445,5,5,3,5,6,3,Not Default
378,14,27,143536,141849,131491,94362,85863,83974,5341,4,35,3,13,23,Not Default
379,3.00E+00,31,3268,3929,38177,54867,66276,78169,218,628,253,223,2,1,Not Default
371,5,29,47411,19817,15688,,,,13,121,,,,,Default
3711,18,39,84484,7999,7764,78369,81,83683,37,284,282,291,5,8,Not Default
3712,29,39,212943,21691,213931,21277,21198,22491,16923,7714,7283,747,1,6,Not Default
3713,6,36,,,,,982,832,,,,982,,15,Not Default
3714,1.00E+00,38,12893,12447,14967,16773,16427,1953,,3,2,,3,2,Not Default
3715,3,41,29866,39,,,,,19,,,,,,Not Default
3716,22,27,15739,153827,156531,154721,15627,15434,7,7,23,,56,45,Not Default
3717,23,3,,,,,,,,,,,,,Not Default
3718,3,29,,,,,,4443,,,,,4443,89,Not Default
3719,2,47,1343,1547,1539,166,18187,18212,1547,1539,166,1866,771,1,Not Default
372,5,3,78,78,78,,39,132,78,,,39,132,,Not Default
3721,8,46,,,,,,65,,,,,65,,Default
3722,9,29,2482,27551,2559,17228,6531,8411,32,,1,1,2,,Not Default
3723,8,31,19824,5,1937,12344,26344,111,5,1937,,14,,3949,Not Default
3724,5,23,3735,3974,4779,41793,42916,44199,3,2,2,18,2,2,Default
3725,5,29,552,,,,,,,,,,,,Not Default
3726,2,53,19369,3888,3167,-129,973,9871,39,3179,773,9832,184,438,Not Default
3727,25,38,532,116,771,625,199,326,116,771,625,199,326,326,Not Default
3728,12,24,889,1742,177,92,177,1271,1742,177,92,177,1271,1595,Not Default
3729,11,28,112597,17799,18464,11737,114581,111219,,4,4,85,,4,Default
373,16,33,1,,,,,,,,,,,,Not Default
3731,8,52,82198,8531,42334,39137,3974,413,3543,1139,43,2,21,24,Not Default
3732,41,36,41116,38144,31177,27185,13818,8477,571,341,396,3845,212,3,Not Default
3733,1.00E+00,43,21293,7962,9217,1845,41194,4325,7973,9226,1845,41194,292,1374,Not Default
3734,75,43,72495,99628,74635,63749,8567,8328,99664,7464,63758,8572,83215,12463,Not Default
3735,3,47,29554,28893,29537,387,17534,15145,1895,1539,189,718,4,5,Not Default
3736,8,33,1973,1616,57525,5499,52458,5493,3895,5,2,2,2344,1235,Not Default
3737,43,31,1226,5671,52983,7672,52378,5636,5873,52983,352,123,75,1,Not Default
3738,48,44,3511,316685,312615,316685,32248,311651,1482,1523,1598,18,1545,2164,Not Default
3739,36,29,,,,,,,,,,,,,Default
374,15,37,26416,18915,1647,17633,,,2497,1647,18776,,,,Not Default
3741,13,28,89418,83196,7528,6586,6346,52272,4,2338,2,218,2,17,Not Default
3742,4,47,37611,36726,4985,485,39354,4322,,4898,,,18,3,Not Default
3743,28,34,11584,12211,1247,1247,617,1117,711,3,,123,5,,Default
3744,4,45,33547,36991,35965,37246,36781,265,4,,2,,12,,Not Default
3745,12,26,1415,7172,11688,1552,89147,88388,5771,1255,573,358,377,316,Not Default
3746,29,39,1757,3555,2256,283,1682,1235,3579,2262,283,1682,1235,128,Not Default
3747,25,39,1976,3314,,8,3576,,3318,,8,3576,,,Not Default
3748,2.00E+00,43,1144,248,3372,181,2384,6595,256,338,185,2394,661,2978,Not Default
3749,8,32,81115,77649,463,23697,6557,32763,5,12,,5,37,3,Not Default
375,13,27,18776,21458,2276,23215,2376,21951,3,2,778,811,2,2865,Not Default
3751,29,37,1428,2741,429,5451,6357,7246,15,15,15,1,1,1,Default
3752,18,29,11,37,37,,,,3394,37,,,,,Not Default
3753,36,31,-5,-5,-5,4232,3189,7511,,,4237,16,7548,415,Not Default
3754,14,37,316,586,5842,9422,8956,316,586,5842,8956,,316,316,Not Default
3755,35,41,57956,15987,36582,8197,14494,54284,15987,3667,8243,14494,54284,672,Not Default
3756,26,36,,,,,8867,763,,,,8867,763,748,Not Default
3757,4,26,18338,233,21687,22327,22816,23436,2,2,1,1,1,15,Not Default
3758,18,27,-2,-2,-2,-2,-2,-2,,,,,,,Default
3759,8,27,22381,1142,721,6157,766,3432,15,3,6157,15,138,59,Default
376,5.00E+00,45,3852,2395,473,4628,5127,34,243,473,4628,5127,34,172,Not Default
3761,8,27,4689,484,,,,,484,,,,,,Not Default
3762,3,57,2976,22332,23654,24952,26551,29598,2,2,2,2,45,,Not Default
3763,22,37,,,,,,,,,,,,3422,Not Default
3764,7,22,68247,68263,22551,168,,1318,212,11,328,,1318,2,Not Default
3765,51,41,3196,16447,3317,1771,5552,2253,16447,3317,1771,5552,2253,96,Not Default
3766,2,22,1811,19389,17628,16694,194,18631,2,1494,2,5,2,194,Not Default
3767,1.00E+00,4,47243,48294,49213,49827,515,53142,2,19,16,2,3,,Default
3768,34,3,338272,339191,325675,285417,284834,284549,15,15,15,12,125,11,Not Default
3769,18,29,,,,,,,,,,,,,Not Default
377,29,38,,1437,37,146,2196,1481,1437,378,146,2196,1481,,Not Default
3771,8,53,8577,78781,78363,4892,49996,-1719,3261,2342,163,1759,,5285,Not Default
3772,28,42,1751,2246,63729,55664,3114,2893,2299,64167,1113,32,578,1768,Not Default
3773,18,4,,,,,11855,252,,,,11855,,1866,Not Default
3774,14,66,,,,,825,675,,,,825,,23715,Not Default
3775,5.00E+00,32,1388,39356,31441,37945,14491,35234,3956,32961,38139,14673,35387,177258,Not Default
3776,23,34,151778,152966,157188,15849,161456,164677,5556,72,582,61,65,51,Not Default
3777,25,26,631,631,631,1231,168,6816,,,6,,6,5,Default
3778,1,24,583,6849,8371,89,8261,8773,13,18,,45,8,,Not Default
3779,23,39,2276,227741,183268,186989,159345,162695,112,62,6237,7,6,61,Not Default
378,7,29,6363,65513,59389,5464,58891,58347,7666,38,12,5,4,3,Not Default
3781,14,39,4654,5525,588,448,2338,425,5525,588,448,2338,4733,22566,Not Default
3782,43,48,99,,,,,2299,,,,,2299,3798,Not Default
3783,12,28,2,1986,1117,425,-267,1451,1986,,,,221,,Default
3784,2,25,16654,1281,14155,19975,19975,,2,2,7,,,,Not Default
3785,3,32,2925,3496,2972,28839,29375,32729,36,,15,13,4,,Not Default
3786,8,43,8171,79283,76767,75393,74731,2327,,,,,,2,Default
3787,4.00E+00,39,44924,359634,3627,32534,328627,329948,13521,12374,11643,11868,18,15,Not Default
3788,2.00E+00,37,,,,,,,,,,,,,Not Default
3789,3,23,27,899,-1581,28419,2916,398,899,,3,155,2376,,Not Default
379,5,46,5471,49399,5556,29759,3381,344,,2247,154,19,1261,1143,Not Default
3791,25,46,1197,-19,3121,2372,52,1979,,314,2387,54,1989,1915,Default
3792,12,28,8922,437,4723,53576,57529,61392,35,5,8,5,5,4,Default
3793,8,45,-1213,35789,36751,39,39,39,38677,3,,39,39,117,Not Default
3794,43,33,1837,373,1198,,538,77543,373,1198,,538,77543,584,Not Default
3795,12,24,75796,764,67187,49924,33188,19826,37,223,216,2,12,1,Not Default
3796,2,22,2386,233,28679,14768,18192,2372,151,13,186,3677,25,573,Not Default
3797,2,32,12916,12761,17828,12937,98525,77711,442,365,312,32,29,2,Not Default
3798,8,25,,,,,,15,,,,3,15,657,Not Default
3799,2,44,7678,1475,-1,19,616,42,3347,,2,718,673,15,Not Default
38,14,27,,,,,,,,,,,,,Not Default
381,1,22,14896,1211,7929,7693,6838,3486,7,4,27,229,7,,Not Default
382,22,34,99518,-482,-482,-482,18,4834,937,,,5,4816,3,Not Default
383,6,48,282,61573,32122,31423,2914,147,62773,,,,147,58587,Not Default
384,8,59,21723,2197,2214,18349,354,,,2,,354,,,Not Default
385,3,25,29745,1639,5235,3122,11446,1914,25,1517,2,11446,1914,6699,Default
386,14,27,13958,14243,132693,135638,13215,134851,49,,52,5,51,48,Not Default
387,2,26,4491,596,7298,8515,9869,11196,15,15,15,15,15,15,Not Default
388,1.00E+00,46,94657,81175,63464,4591,46996,42935,3,29,3,2,2,171,Not Default
389,22,35,158882,164258,161778,165741,175823,29765,8,5669,7599,148,233,2,Not Default
381,8,4,27432,2792,28447,23537,7613,3356,1833,1378,1328,195,269,56,Not Default
3811,8,46,76184,7836,79835,4499,41346,42348,3345,3344,1447,1497,1686,159,Not Default
3812,13,28,7952,69264,7184,8518,11296,6514,,3,2,3,2,,Default
3813,3.00E+00,33,,,,,,,,,,,,,Not Default
3814,6,42,58264,57923,58987,1735,17937,17298,32,3,8,1,1,1,Not Default
3815,36,32,249,,,685,685,153,,,685,,845,53,Not Default
3816,1,24,12,12,12,12,12,12,,,,,,1393,Default
3817,5,32,32813,34973,3563,37595,29818,24416,3,17,26,,1,6,Default
3818,5,48,42156,4584,33777,18815,1733,1745,422,1347,113,1,7,1,Not Default
3819,2.00E+00,35,,,,,,,,,,,,2827,Not Default
382,3,24,15164,1667,1732,17448,1857,1946,2,1,1,15,1,1,Default
3821,22,42,328,9134,882,152,455,3766,6,,,33,31,47,Not Default
3822,2.00E+00,41,5954,1464,7165,6946,9776,27,1464,7165,6966,9776,27,163,Not Default
3823,8,27,84718,82861,8581,51537,51381,48866,,,,179,189,174,Default
3824,2.00E+00,39,1519,3139,1284,395,7688,2241,3155,12848,395,769,2241,2795,Not Default
3825,24,34,652,326,326,326,326,326,,326,326,326,326,711,Default
3826,5.00E+00,28,7262,873,8596,6418,6243,1984,873,8596,275,3,1984,2714,Not Default
3827,23,38,691,,188,6498,44938,5615,,188,6498,4,12,25,Not Default
3828,2,22,11242,117,11788,967,9191,,1282,1,192,184,,,Not Default
3829,5,35,473,41283,28134,2928,7778,979,469,15,15,,5,,Not Default
383,1.00E+00,35,583,6694,7855,876,8297,9349,1118,1279,5,5,1349,1691,Not Default
3831,23,37,,,,,,,,,,,,,Not Default
3832,6,28,42243,37131,38136,3893,41483,4257,7773,1628,1395,321,,2,Not Default
3833,12,48,3845,199,1823,3646,1823,1823,,1823,3646,,1823,1823,Default
3834,13,23,5719,15578,19887,11659,11735,8541,1,5,2,2,2,1,Not Default
3835,5,25,3197,3322,31142,29391,399,2841,,1833,1,1,1,1,Default
3836,4.00E+00,3,1413,5422,15941,5776,5448,15435,546,162,585,5475,5634,6182,Not Default
3837,24,27,44,,1129,1129,1971,259,,1129,,1,496,1,Default
3838,7,53,9928,11259,12262,1746,17618,18321,1497,15,5,1,1,1,Not Default
3839,2,22,28758,1478,18829,1841,3,,1423,5,4,2,,,Not Default
